name,author,year,genre,key_words,to_watch,watched
Oczy złodzieja,Najwa Najjar,2014,Dramaty;Filmy niezależne;Filmy międzynarodowe,Khaled Abol El Naga;Souad Massi;Suhail Haddad;Malak Ermileh;Maisa Abd Elhadi;Walid Abdul Salam;Nisreen Faour;Areen Omari;Palestyna;konflikt;rodzina;tajemnica;więzienie;miłość;poświęcenie;przeszłość;walka;intryga;strata;odwaga;przemiana;przetrwanie;honor;relacje;tragedia;nadzieja;wina;odkupienie,0,0
Cieszę się że to zrobiłem,Selçuk Metin,2020,Filmy dokumentalne;Filmy międzynarodowe,Metin Akpınar;Demet Akbağ;Umur Bugay;Ahmet Gülhan;Dikmen Gürün;Kandemir Konduk;Perran Kutman;Zeynep Oral;Nevra Serezli;Selma Sonat;Suat Sungur;Ferhan Şensoy;Cihat Tamer;Demet Taner;teatr;aktorzy;historia sztuki;Turcja;wywiady;kultura;scena;występy;wspomnienia;film dokumentalny;reżyseria;opowieść;pasja;kariera;twórczość;tradycja;dziedzictwo,0,0
Granaty i mirra,Najwa Najjar,2009,Dramaty;Filmy niezależne;Filmy międzynarodowe,Yasmine Al Massri;Ashraf Farah;Ali Suliman;Hiam Abbass;Samia Kuzmoz Bakri;Yosef Abu Wardeh;Wardeh Dukwar;Manal Awad;Valentina Abu-'Aksa;Walid Abdul Salam;Ahmad Abu Sal'oum;Wardeh Jubran;miłość;rodzina;konflikt;Palestyna;tradycja;wojna;przeszłość;sekret;poświęcenie;honor;wina;odkupienie;przetrwanie;przyjaźń;nadzieja;zdrada;uczucia;relacje;tragedia,0,0
Rurouni Kenshin: Początek,Keishi Otomo,2021,Akcja i przygoda;Filmy międzynarodowe,Takeru Satoh;Kasumi Arimura;Issey Takahashi;Nijiro Murakami;Masanobu Ando;Kazuki Kitamura;Yosuke Eguchi;samuraj;Japonia;walka;honor;poświęcenie;miecz;szermierka;przygoda;romans;tradycja;konflikt;wojna;szlachetność;tragiczna przeszłość;lojalność;przyjaźń;zemsta;heroizm;film kostiumowy,0,0
Ostatni najemnik,David Charhon,2021,Akcja i przygoda;Komedie;Filmy międzynarodowe,Jean-Claude Van Damme;Alban Ivanov;Éric Judor;Patrick Timsit;Miou-Miou;Assa Sylla;Samir Decazza;Valérie Kaprisky;Djimo;Nassim Lyes;agent specjalny;akcja;komedia;francuski humor;misja;intryga;pościg;walka;trening;zdrada;rodzina;ojciec i syn;przygoda;broń;niebezpieczeństwo;plan;udawanie;fałszywa tożsamość,0,0
Dziewczyna od kwiatów,Michelle Bello,2013,Komedie;Filmy międzynarodowe;Filmy romantyczne,Damilola Adegbite;Chris Attoh;Chuks Chukwujekwu;Blossom Chukwujekwu;Eku Edewor;Bikiya Graham Douglas;miłość;romans;przypadkowe spotkanie;uczucia;rodzina;komedia;nieporozumienia;randki;ślub;przyjaźń;praca;marzenia;przeszkody;uczuciowe zawirowania;film obyczajowy,0,0
Ucieczka do miłości,Steven Tsuchida,2021,Komedie;Filmy romantyczne,Christina Milian;Jay Pharoah;Sinqua Walls;Tymberlee Hill;Jeryl Prescott Gallien;Christiani Pitts;Karen Obilom;Alexander Hodge;T.J. Power;Sylvaine Strike;Kayne Lee Harrison;wakacje;romans;śpiewaczka;muzyka;wyspa;ślub;uczucia;przygoda;miłość;przyjaźń;zdrada;humor;wakacyjny klimat;nowe życie;randka,0,0
Bartkowiak,Daniel Markowicz,2021,Akcja i przygoda;Filmy międzynarodowe,Józef Pawłowski;Zofia Domalik;Szymon Bobrowski;Bartłomiej Topa;Janusz Chabior;Rafał Zawierucha;Antoni Pawlicki;Cezary Łukaszewicz;Danuta Stenka;Jan Frycz;Damian Majewski;MMA;walka;zemsta;rodzina;klub sportowy;śmierć;intryga;brat;przyjaźń;trening;pojedynki;przestępczość;honor;niebezpieczeństwo;konflikt;miłość;dramat;lojalność,0,0
Fantastyczne grzyby,Louie Schwartzberg,2019,Filmy dokumentalne,grzyby;przyroda;ekologia;mikologia;las;środowisko;przyroda;biologia;ochrona przyrody;dokument;rozwój grzybni;medycyna naturalna;ekosystem;zależności w naturze;życie;ziemia;planeta;zrównoważony rozwój;odkrycia naukowe;mikroskop;zdrowie;naturalne leki;grzyboterapia;świat przyrody;mikroskopowe struktury,0,0
Department,Ram Gopal Varma,2012,Akcja;Sensacja;Thriller;Kino indyjskie,Amitabh Bachchan;Sanjay Dutt;Rana Daggubati;Vijay Raaz;Abhimanyu Singh;Madhu Shalini;Deepak Tijori;Anjana Sukhani;Manchu Lakshmi;policja;przestępczość;gangi;mumbaj;korupcja;walka o władzę;broń palna;strzelaniny;pościgi;lojalność;zdrada;walka o honor;mafijne porachunki;podziemie;porachunki gangsterskie;operacje policyjne;konflikty osobiste;policjanci;przemoc;walka dobra ze złem;ambicje;sojusze;bezprawie;intrygi;polityka,0,0
Hostage House,David Benullo,2021,Thriller;Sensacja;Kryminał,Jennifer Taylor;Justin Schilling;Emily Sweet;Julia Terranova;Patrick Cronen;Richard Neil;napad;zakładnicy;dom;porwanie;groźba;broń palna;negocjacje;psychologiczna gra;przestępczość;ofiary;strach;dramat rodzinny;walka o życie;intryga;zaskakujące zwroty akcji;plan przestępstwa;bezradność;zamknięta przestrzeń;konflikt moralny;czas ucieka;niepewność;przemoc;atak;zbrodnia;manipulacja;motyw zemsty,0,0
Mimi,Laxman Utekar,2021,Komedia;Dramat;Kino indyjskie;Film obyczajowy,Kriti Sanon;Pankaj Tripathi;Sai Tamhankar;Manoj Pahwa;Supriya Pathak;Evelyn Edwards;macierzyństwo;surrogacja;rodzina;miłość;przyjaźń;indyjskie społeczeństwo;komedia sytuacyjna;dziecko;ciąża;poświęcenie;dylemat moralny;kariera;marzenia;indyjskie miasto;konflikt pokoleń;akceptacja;wsparcie;rodzicielstwo;opieka;odpowiedzialność;empatia;emocje;nadzieja;tradycje;zmiana życia,0,0
The Operative,Yuval Adler,2019,Dramat;Thriller;Kino międzynarodowe,Diane Kruger;Martin Freeman;Cas Anvar;Rotem Keinan;Yohanan Herson;szpiegostwo;agentka;Mosad;Iran;Izrael;operacje wywiadowcze;podwójne życie;tożsamość;ukrywanie prawdy;miłość;zdrada;konflikt;praca pod przykrywką;tajemnice;niebezpieczeństwo;intryga;misja;walka o przetrwanie;polityka;manipulacja;przesłuchania;lojalność;zaufanie;wywiad;konspiracja;ucieczka,0,0
Django,Quentin Tarantino,2012,Akcja;Dramat;Western;Film przygodowy,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;Samuel L. Jackson;łowca nagród;niewolnictwo;pościgi;rewolwerowcy;pojedynki;Teksas;Missisipi;wolność;zemsta;plantacja;właściciel niewolników;przyjaźń;walka o sprawiedliwość;brutalne sceny;rasizm;konflikt klasowy;historyczne tło;czarny bohater;wyzwolenie;karabin;konfrontacja;walka o miłość;Tarantino;czarny humor;krwawa akcja,0,0
A Second Chance: Rivals!,Clay Glen,2021,Film familijny;Sport;Film młodzieżowy,Emily Morris;Stella Shute;Eva Grados;India Colombi;Nina Pearce;Adam Tuominen;Carmel Johnson;Natasha Wanganeen;Elysia Markou;Alexander Lloyd;Amy Handley;gimnastyka;rywalizacja;trening;przyjaźń;pasja;determinacja;turniej;wyzwania;drużyna;marzenia;motywacja;wsparcie;ambicja;konkurencja;sportowa etyka;wytrwałość;zwycięstwo;porażka;wzrost;dojrzałość,0,0
African America,Muzi Mthembu,2021,Dramat;Kino niezależne;Kino międzynarodowe,Phumelele Mthembu;Anthony Goss;Thami Buti;Makhosazana Ndlovu;Zandile Lujabe;Gontse Ntshegang;Roget Ellis;Bridget Pike;Boipelo Nokukhanya Tau;James Raynolds;Nji Alain;Bongani Dlamin;emigracja;marzenia;miłość;Nowy Jork;Afryka;konflikt kultur;tożsamość;ambicje;poświęcenie;rodzina;walka o lepsze życie;przyjaźń;nowe początki;trudne decyzje;samorealizacja;nadzieja;wyzwania życiowe;poszukiwanie siebie,0,0
Bankrolled,Marcos Bucay,2021,Komedia;Kino międzynarodowe,Aldo Escalante;Ricardo Polanco;Natalia Téllez;Fabrizio Santini;SeoJu Park;María Chacón;Giuseppe Gamba;Sebastián Zurita;startup;technologia;przyjaźń;biznes;inwestorzy;pomysł;konkurencja;media społecznościowe;marketing;innowacje;humor;sukces;porażka;wyzwania;współpraca;ambicje;nowoczesne miasto;zespół;rozwój osobisty;cele;inspiracja,0,0
Blood Red Sky,Peter Thorwarth,2021,Akcja;Horror;Kino międzynarodowe,Peri Baumeister;Alexander Scheer;Kais Setti;Carl Koch;Gordon Brown;Roland Møller;Chidi Ajufo;Kai Ivo Baulitz;Graham McTavish;Dominic Purcell;wampiry;porwanie samolotu;terroryści;nocny lot;matka i syn;walka o przetrwanie;przemiana;groza;akcja;atmosfera napięcia;walka z czasem;epidemia;atak;walka wręcz;krwawa przemoc;zaskoczenie;poświęcenie;bohaterka;odwaga,0,0
Kingdom: Ashin of the North,Kim Seong-hun,2021,Horror;Thriller;Kino międzynarodowe,Gianna Jun;Park Byung-eun;Kim Si-a;Kim Roi-ha;Koo Kyo-hwan;Korea;epidemia zombie;średniowiecze;zemsta;utrata rodziny;wojowniczka;przetrwanie;polowanie;dzika przyroda;legendy;trucizna;eksperymenty;konflikt plemion;ataki;straszne odkrycia;wyprawa;osamotnienie;tajemnice;tragedia;walka z potworami;poświęcenie;polityka;spisek;armia,0,0
The Last Letter From Your Lover,Augustine Frizzell,2021,Dramat;Romans,Shailene Woodley;Felicity Jones;Callum Turner;Joe Alwyn;Nabhaan Rizwan;Ncuti Gatwa;Emma Appleton;Christian Brassington;Alice Orr-Ewing;Lee Knight;Zoe Boyle;Ben Cross;Diana Kent;listy miłosne;romans;dziennikarka;przeszłość i teraźniejszość;tajemnica;zdrada;miłość zakazana;ślub;poszukiwanie prawdy;archiwa;uczucia;poświęcenie;strata;rozłąka;odkrywanie sekretów;dramatyczne wybory;przeznaczenie,0,0
9to5: The Story of a Movement,,2021,Film dokumentalny,ruch pracowniczy;prawa kobiet;historia;strajk;USA;feminizm;walka o równość;praca biurowa;1970s;organizacje społeczne;aktywiści;zmiana prawa;protesty;solidarność;edukacja;liderzy społeczni;wolność słowa;presja społeczna;inspiracja;motywacja;przełomowe wydarzenia;praca zespołowa;sprawiedliwość;konflikt;media;zmiany kulturowe;walka o prawa;empowerment;rola kobiet;społeczne inicjatywy,0,0
Chhota Bheem - Dinosaur World,Sidheswar Shukla,2015,Film familijny;Animacja;Film przygodowy,Sonal Kaushal;Rupa Bhimani;Julie Tejwani;Sabina Malik;Jigna Bharadwaj;Bheem;przyjaciele;dinozaury;prehistoria;podróż w czasie;walka;przygody;odwaga;przyjaźń;humor;magia;legendy;świat dzieci;zabawa;fantazja;eksploracja;niebezpieczeństwo;przetrwanie;bohaterowie;zwierzęta;eksperyment;wioska;obrona;pokonywanie przeszkód;misja,0,0
Chhota Bheem - Neeli Pahaadi,Rajiv Chilaka,2013,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Mousam;Swapnil;Bheem;niebieska góra;tajemnica;przygoda;przyjaźń;humor;odwaga;walka z przeciwnikami;skarb;magia;fantastyczny świat;dzieci;drużyna;przeszkody;niebezpieczeństwa;determinacja;legenda;bohaterstwo;zabawa;indyjska kultura;fantazja;dobro kontra zło,0,0
Chhota Bheem & Ganesh,Rajiv Chilaka,2009,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Mousam;Swapnil;Bheem;Ganesh;indyjskie mity;bogowie;przygoda;przyjaźń;humor;walka;odwaga;dzieci;zabawa;legenda;fantastyka;hinduska tradycja;drużyna;bohaterowie;wyzwania;wioska;dobro zwycięża;współpraca;determinacja;niebezpieczeństwa;magia,0,0
Chhota Bheem & Krishna: Mayanagari,Rajiv Chilaka,2011,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Mousam;Swapnil;Bheem;Krishna;miasto Maya;magia;bogowie;legenda;walka ze złem;przyjaźń;humor;odwaga;dzieci;hinduska kultura;współpraca;zabawa;przygoda;niebezpieczeństwa;fantazja;bohaterowie;wioska;tradycja;dobro kontra zło;mitologia,0,0
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Rajiv Chilaka,2010,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Arun Shekher;Sanchit Wartak;Bheem;Krishna;Pataliputra;miasto umarłych;przygoda;fantazja;legenda;mitologia;bogowie;odwaga;przyjaźń;humor;dzieci;zabawa;walka z przeciwnikami;wioska;niebezpieczeństwa;determinacja;bohaterowie;hinduska kultura;dobro zwycięża,0,0
Chhota Bheem And The Broken Amulet,Rajiv Chilaka,2013,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Mousam;Swapnil;Bheem;amulet;złamany amulet;magia;przygoda;przyjaźń;walka;odwaga;dzieci;drużyna;niebezpieczeństwa;zabawa;humor;legenda;fantastyczny świat;determinacja;wioska;hinduska tradycja;dobro kontra zło;bohaterowie;wyzwania,0,0
Chhota Bheem And The Crown of Valhalla,Rajiv Chilaka,2013,Film familijny;Animacja;Film przygodowy,Vatsal Dubey;Julie Tejwani;Rupa Bhimani;Jigna Bhardwaj;Rajesh Kava;Mousam;Swapnil;Bheem;korona Valhalli;nordycka mitologia;magia;przygoda;walka ze złem;przyjaźń;humor;odwaga;dzieci;drużyna;zabawa;fantazja;wioska;skarb;niebezpieczeństwa;bohaterowie;dobro kontra zło;hinduska kultura;legenda;determinacja,0,0
Department,Ram Gopal Varma,2012,Akcja;Film kryminalny;Film indyjski,Amitabh Bachchan;Sanjay Dutt;Rana Daggubati;Vijay Raaz;Abhimanyu Singh;Madhu Shalini;Deepak Tijori;Anjana Sukhani;Manchu Lakshmi;policja;gangi;przestępczość;korupcja;walka o władzę;mafia;spiski;odwaga;przemoc;strzelaniny;dylemat moralny;lojalność;policjanci kontra gangsterzy;indyjskie kino;determinacja;władza;intrygi;konflikt,0,0
Hostage House,David Benullo,2021,Thriller;Film sensacyjny,Jennifer Taylor;Justin Schilling;Emily Sweet;Julia Terranova;Patrick Cronen;Richard Neil;dom zakładników;napad;porwanie;walka o życie;przestępcy;ofiary;psychologiczna gra;niebezpieczeństwo;ucieczka;strach;intryga;rodzina;ofiary i oprawcy;odwaga;manipulacja;emocje;dreszczowiec;wstrząs,0,0
Mimi,Laxman Utekar,2021,Komedia;Dramat;Film indyjski,Kriti Sanon;Pankaj Tripathi;Sai Tamhankar;Manoj Pahwa;Supriya Pathak;Evelyn Edwards;macierzyństwo;rodzina;dziecko;komedia;uczucia;przyjaźń;społeczne wyzwania;indyjskie realia;emigracja;odwaga;kobieta;trudne decyzje;relacje;miłość;przygody życiowe;humor;społeczne tabu,0,0
The Operative,Yuval Adler,2019,Dramat;Thriller;Film międzynarodowy,Diane Kruger;Martin Freeman;Cas Anvar;Rotem Keinan;Yohanan Herson;szpieg;agentka;Mossad;intryga;zdrada;podwójne życie;Bliski Wschód;operacje wywiadowcze;lojalność;manipulacja;miłość;niebezpieczeństwo;tajemnice;przemoc;psychologia;gra wywiadów;konflikt,0,0
Django Unchained,Quentin Tarantino,2012,Akcja;Dramat;Western,Jamie Foxx;Christoph Waltz;Leonardo DiCaprio;Kerry Washington;Samuel L. Jackson;Walton Goggins;Dennis Christopher;James Remar;David Steen;Dana Gourrier;Nichole Galicia;Laura Cayouette;Ato Essandoh;Sammi Rotibi;Escalante Lundy;Don Johnson;niewolnictwo;zemsta;łowca nagród;plantacja;walka o wolność;krwawa przemoc;western;miłość;rasizm;Tarantino;odwaga;przyjaźń;pościg;strzelaniny;USA XIX w.,0,0
A Second Chance: Rivals!,Clay Glen,2021,Film rodzinny;Sport,Emily Morris;Stella Shute;Eva Grados;India Colombi;Nina Pearce;Adam Tuominen;Carmel Johnson;Natasha Wanganeen;Elysia Markou;Alexander Lloyd;Amy Handley;gimnastyka;zawody;rywalizacja;przyjaźń;odwaga;marzenia;determinacja;drużyna;trening;dzieci;rodzina;współpraca;wyzwania;inspiracja;zabawa;konflikt,0,0
African America,Muzi Mthembu,2021,Dramat;Film niezależny;Film międzynarodowy,Phumelele Mthembu;Anthony Goss;Thami Buti;Makhosazana Ndlovu;Zandile Lujabe;Gontse Ntshegang;Roget Ellis;Bridget Pike;Boipelo Nokukhanya Tau;James Raynolds;Nji Alain;Bongani Dlamin;marzenia;emigracja;USA;Afryka;tożsamość;miłość;życie na obczyźnie;walka o lepszą przyszłość;rodzina;odwaga;muzyka;jazda bez trzymanki;wyzwania;społeczne przeszkody,0,0
Bankrolled,Marcos Bucay,2021,Komedia;Film międzynarodowy,Aldo Escalante;Ricardo Polanco;Natalia Téllez;Fabrizio Santini;SeoJu Park;María Chacón;Giuseppe Gamba;Sebastián Zurita;startup;aplikacja;technologia;humor;przyjaźń;inwestorzy;biznes;ambicje;Meksyk;problemy finansowe;komedia sytuacyjna;drużyna;marzenia;innowacje;odwaga,0,0
Blood Red Sky,Peter Thorwarth,2021,Akcja;Horror;Film międzynarodowy,Peri Baumeister;Alexander Scheer;Kais Setti;Carl Koch;Gordon Brown;Roland Møller;Chidi Ajufo;Kai Ivo Baulitz;Graham McTavish;Dominic Purcell;samolot;wampiry;terroryści;walka o życie;horror;akcja;rodzina;matka i syn;przemoc;niebezpieczeństwo;strach;tragedia;thriller;fantastyka;odwaga;ucieczka,0,0
Kingdom: Ashin of the North,Kim Seong-hun,2021,Horror;Thriller;Film międzynarodowy,Gianna Jun;Park Byung-eun;Kim Si-a;Kim Roi-ha;Koo Kyo-hwan;zombie;Korea;średniowiecze;walka o przetrwanie;apokalipsa;klątwa;zemsta;horror historyczny;intrygi;wojna;rodzina;tragedia;niebezpieczeństwo;fantastyka;strach;władza;dramat,0,0
The Last Letter From Your Lover,Augustine Frizzell,2021,Dramat;Romans,Shailene Woodley;Felicity Jones;Callum Turner;Joe Alwyn;Nabhaan Rizwan;Ncuti Gatwa;Emma Appleton;Christian Brassington;Alice Orr-Ewing;Lee Knight;Zoe Boyle;Ben Cross;Diana Kent;listy miłosne;przeszłość;sekrety;uczucia;romans;dziennikarka;miłość zakazana;Anglia;wielowątkowość;odkrywanie prawdy;dramat;wzruszenia;odwaga;poświęcenie,0,0
9to5: The Story of a Movement,,2021,Film dokumentalny,;ruch pracowniczy;feminizm;związki zawodowe;USA;lata 70.;walka o prawa kobiet;sprawiedliwość społeczna;praca biurowa;zmiany społeczne;historia;aktywiści;protest;solidarność;determinacja;społeczne tabu;nierówności,0,0
Wannabe Courageous,Mahmoud Karim,2019,Komedia;Film międzynarodowy,Ramez Galal;Jamila Awad;Bayoumi Fouad;Mohamed Abdel-Rahman;Mohammed Tharwat;Maha Abou Ouf;Noor Kadri;Elshahat Mabrouk;Badriyyah Tulbah;Taher Abu Lela;Sara Derzawy;Egipt;komedia romantyczna;humor;rodzina;przyjaźń;miłość;Kair;intryga;nieporozumienia;farsa;satyra;społeczne zwyczaje;małżeństwo;konflikt;emocje;rozrywka;lekkość;tradycja;relacje damsko-męskie,0,0
Słowa jak pęcherzyki unoszące się w sodzie,Kyohei Ishiguro,2021,Anime;Film familijny;Film międzynarodowy,Somegoro Ichikawa;Hana Sugisaki;Megumi Han;Natsuki Hanae;Yuuichirou Umehara;Megumi Nakajima;Sumire Morohoshi;Hiroshi Kamiya;Maaya Sakamoto;Koichi Yamadera;Kikuko Inoue;Japonia;miłość;poezja;muzyka;młodość;emocje;wrażliwość;komunikacja;internet;rodzina;szkoła;przyjaźń;pierwsza miłość;shoujo;radość;nieśmiałość;poszukiwanie siebie;sztuka;nostalgia,0,0
Sanitation Day,Seyi Babatope,2020,Dramat;Thriller;Film międzynarodowy,Blossom Chukwujekwu;Elozonam Ogbolu;Nse Ikpe-Etim;Belinda Effah;Saeed Mohammed;Chukwuemeka Okoroafor;Kunle Fawole;Chris Okagbue;Adebayo Salami;Charles Inojie;Elvina Ibru;Tobi Bakare;Nigeria;kryminalna zagadka;przestępstwo;śledztwo;policja;społeczne tło;korupcja;tragedia;ofiara;morderstwo;konflikty społeczne;dramat miejski;afrykańskie kino;władza;system;niebezpieczeństwo;odwaga;tajemnice,0,0
Milkwater,Morgan Ingari,2020,Komedia;Dramat;Film niezależny,Molly Bernard;Patrick Breen;Robin de Jesús;Ava Eisenson;Ade Otukoya;Nowy Jork;macierzyństwo;surrogacja;przyjaźń;relacje międzyludzkie;queer;odwaga;kobieta;niezależność;samotność;emocje;współczesność;społeczne tabu;miłość;rodzina;wybory życiowe;intymność;odkrywanie siebie;dramat społeczny;komedia obyczajowa;społeczna presja,0,0
Bęben zemsty,Abdulaziz Alshlahei,2021,Dramat;Romans;Film międzynarodowy,Faisal Al Dokhei;Adwa Fahad;Muhand Alsaleh;Rawya Ahmed;Ajeba Aldosary;Aly Ibrahim;Samer Elkhal;Hashem Hawsawi;Ibrahim Mesisebi;Shabib Alkhaleefa;Abdulateif Saud;Nada Alshehry;Dhay Nasser;Arabia Saudyjska;miłość;rodzina;tradycja;społeczne tabu;honor;konflikt pokoleniowy;odwaga;tragedia;społeczne ograniczenia;dramat;społeczeństwo;lojalność;wybory;konflikt miłości i obowiązku,0,0
Kosmiczny grzech,Edward Drake,2021,Akcja;Science-fiction;Film międzynarodowy,Frank Grillo;Bruce Willis;Brandon Thomas Lee;Corey Large;Perrey Reeves;C.J. Perry;Lochlyn Munro;Costas Mandylor;Adelaide Kane;Eva De Dominici;Trevor Gretzky;kosmos;przyszłość;wojna;obcy cywilizacje;żołnierze;akcja;przemoc;ratowanie ludzkości;technologia;strzelaniny;zagłada;katastrofa;misja;odwaga;bohaterstwo;statek kosmiczny;broń futurystyczna,0,0
2 tygodnie w Lagos,Kathryn Fasegha,2020,Dramat;Romans;Film międzynarodowy,Beverly Naya;Mawuli Gavor;Ajoke Silva;Jide Kosoko;Toyin Abraham;Okey Uzoeshi;Deyemi Okanlawon;Shaffy Bello;Tina Mba;Efe Irele;Nigeria;miłość;rodzina;konflikt;tradycja;społeczne oczekiwania;romans;odwaga;wielkie miasto;polityka;społeczne napięcia;dramat;społeczne tabu;społeczeństwo afrykańskie;uczucia;przyjaźń;wybory życiowe,0,0
Ulica strachu: Część 3 – 1666,Leigh Janiak,2021,Horror;Film LGBTQ;Film młodzieżowy,Kiana Madeira;Ashley Zukerman;Gillian Jacobs;Olivia Scott Welch;Benjamin Flores Jr.;Darrell Britt-Gibson;Sadie Sink;Emily Rudd;McCabe Slye;Julia Rehwald;Fred Hechinger;Jordana Spiro;Jordyn DiNatale;USA;horror;czarownice;klątwa;zemsta;miłość;przyjaźń;odwaga;społeczna nietolerancja;strach;groza;pościg;walka o przetrwanie;tożsamość;sekrety;dramat historyczny;nadprzyrodzone moce,0,0
Prawo Heroda,Luis Estrada,1999,Komedia;Film międzynarodowy,Damián Alcázar;Pedro Armendáriz Jr.;Delia Casanova;Juan Carlos Colombo;Alex Cox;Guillermo Gil;Ernesto Gómez Cruz;Leticia Huijara;Luis de Icaza;Eduardo López Rojas;Manuel Ojeda;Salvador Sánchez;Evangelina Sosa;Isela Vega;Meksyk;polityka;satyra;korupcja;społeczeństwo;walka o władzę;społeczna krytyka;demokracja;komedia polityczna;społeczne absurdy;władza;spiski;humor czarny;manipulacja;społeczne tabu,0,0
Na pokuszenie,Sofia Coppola,2017,Dramat;Thriller;Film niezależny,Colin Farrell;Nicole Kidman;Kirsten Dunst;Elle Fanning;Oona Laurence;Angourie Rice;Addison Riecke;Emma Howard;Wojna secesyjna;kobiety;miłość;romans;izolacja;szkoła;internat;konflikt;psychologia;zdrada;dramat kostiumowy;strach;sekrety;pożądanie;emocje;groza;społeczne tabu;wojna,0,0
Księga Henry’ego,Colin Trevorrow,2017,Dramat,Naomi Watts;Jaeden Martell;Jacob Tremblay;Sarah Silverman;Dean Norris;Lee Pace;Maddie Ziegler;Tonya Pinkins;Bobby Moynihan;Geraldine Hughes;rodzina;dziecko;inteligencja;choroba;przyjaźń;odwaga;rodzeństwo;relacje rodzinne;emocje;dramat psychologiczny;współczesność;tragizm;społeczne tabu;wybory życiowe;miłość matki;poświęcenie;samotność;wrażliwość,0,0
Saga Zmierzch: Przed świtem – część 1,Bill Condon,2011,Dramat;Romans,Kristen Stewart;Robert Pattinson;Taylor Lautner;Billy Burke;Peter Facinelli;Elizabeth Reaser;Kellan Lutz;Nikki Reed;Jackson Rathbone;Ashley Greene;miłość;wampiry;wilkołaki;fantasy;romans;dramat młodzieżowy;trudne wybory;ciąża;rodzina;konflikt;przyjaźń;poświęcenie;emocje;groza;nadprzyrodzone moce;sekrety;intymność,0,1
Saga Zmierzch: Przed świtem – część 2,Bill Condon,2012,Dramat;Romans,Kristen Stewart;Robert Pattinson;Taylor Lautner;Peter Facinelli;Elizabeth Reaser;Ashley Greene;Jackson Rathbone;Kellan Lutz;Nikki Reed;Billy Burke;miłość;wampiry;walka;rodzina;dziecko;nadprzyrodzone moce;romans;przyjaźń;strach;groza;sekrety;fantasy;emocje;dramat młodzieżowy;poświęcenie;wojna;klany;sojusze,0,1
Saga Zmierzch: Zaćmienie,David Slade,2010,Dramat;Romans,Kristen Stewart;Robert Pattinson;Taylor Lautner;Bryce Dallas Howard;Billy Burke;Dakota Fanning;Peter Facinelli;Elizabeth Reaser;Jackson Rathbone;Kellan Lutz;Ashley Greene;Nikki Reed;miłość;wampiry;walka;wilkołaki;romans;fantasy;dramat młodzieżowy;emocje;przyjaźń;lojalność;strach;groza;sojusze;niebezpieczeństwo;konflikt;zdrada,1,0
Saga Zmierzch: Księżyc w nowiu,Chris Weitz,2009,Dramat;Romans,Kristen Stewart;Robert Pattinson;Taylor Lautner;Ashley Greene;Rachelle Lefevre;Billy Burke;Michael Sheen;Dakota Fanning;Peter Facinelli;Elizabeth Reaser;Jackson Rathbone;Kellan Lutz;Nikki Reed;Edi Gathegi;miłość;romans;wampiry;samotność;przyjaźń;wilkołaki;emocje;rozstanie;groza;fantasy;dramat młodzieżowy;poświęcenie;strach;smutek;konflikt,1,0
Zmierzch,Catherine Hardwicke,2008,Dramat; Romans; Fantasy; Thriller; Akcja,Kristen Stewart; Robert Pattinson; Billy Burke; Peter Facinelli; Elizabeth Reaser; Cam Gigandet; Ashley Greene; Anna Kendrick; Nikki Reed; Taylor Lautner; Jackson Rathbone; Kellan Lutz; wampiry; wilkołaki; Forks; miłość zakazana; szkoła średnia; nadprzyrodzone moce; nieśmiertelność; walka o przetrwanie; rodzina Cullenów; Bella Swan; Edward Cullen; Jacob Black; zagrożenie; proroctwo; rywalizacja; przyjaźń; napięcie; dramat młodzieżowy; niebezpieczeństwo; pierwsza miłość; amerykańskie kino młodzieżowe,0,1
Idealne dopasowanie,Hadrah Daeng Ratu,2021,Komedia romantyczna; Dramat; Film międzynarodowy,Nadya Arina; Refal Hady; Giorgino Abraham; Anggika Bolsterli; Laura Theux; Christine Hakim; Unique Priscilla; Karina Suwandi; Mathias Muchus; Ayu Laksmi; I Made Sidia; Dominique Sanda; Bryan Domani; Wafda Saifan; Yayu Unru; Dave Hendrik; Indonezja; randki; tradycja kontra nowoczesność; ślub; wybór życiowy; miłość; rodzina; emocje; uczucia; młodzież; dramat obyczajowy; humor romantyczny; konflikt pokoleń; społeczne oczekiwania; kobieta i kariera; historia miłosna,0,0
