title,director,cast,release_year,listed_in
A Go! Go! Cory Carson Summer Camp,"Stanley Moore, Alex Woo","Alan C. Lim, Smith Foreman, Abigail Vibat, Pfifer Chastain, Jim Capobianco, Neena-Sinaii Simpo, Eli Morse, Adelaide Hirasaki, Paul Killam, Kerry Gudjohnsen, Maisie Benson",2020,Children & Family Movies
Malibu Rescue: The Next Wave,Savage Steve Holland,"Ricardo Hurtado, Breanna Yde, Jackie R. Jacobson, Abby Donnelly, Alkoya Brunson, Jeff Meacham, Ella Gross, Carlos Sanson, JT Neal, Camaron Engels, Kirrilee Berger",2020,"Children & Family Movies, Comedies"
Sam Jay: 3 In The Morning,Kristian Mercado,Sam Jay,2020,Stand-Up Comedy
Almost Love,Mike Doyle,"Scott Evans, Augustus Prew, Kate Walsh, Michelle Buteau, Zoë Chao, Patricia Clarkson, Colin Donnell, Christopher Gray",2020,"Comedies, Dramas, Independent Movies"
Killing Hasselhoff,Darren Grant,"Ken Jeong, David Hasselhoff, Jim Jefferies, Jon Lovitz, Rhys Darby, Dan Bakkedahl, Jennifer Ikeda, Will Sasso, Colton Dunn",2017,Comedies
Rogue Warfare: The Hunt,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Chris Mulkey, Stephen Lang",2020,Action & Adventure
Super Monsters: The New Class,Steve Ball,"Elyse Maloway, Vincent Tong, Erin Mathews, Andrea Libman, Alessandro Juliani, Nicole Anthony, Diana Kaarina, Gigi Saul Guerrero, Asia Mattu, Rukiya Bernard, Elicia MacKenzie, Ian James Corlett, Britt McKillip",2020,Children & Family Movies
The Ottoman Lieutenant,Joseph Ruben,"Michiel Huisman, Hera Hilmar, Josh Hartnett, Ben Kingsley, Haluk Bilginer, Affif Ben Badra, Paul Barrett, Jessica Turner",2017,"Dramas, Romantic Movies"
Tumi or not Tumi,Mfanelo Ngoma,Tumi Morake,2020,Stand-Up Comedy
What Keeps You Alive,Colin Minihan,"Hannah Emily Anderson, Brittany Allen, Martha MacIsaac, Joey Klein, Charlotte Lindsay Marron",2018,"LGBTQ Movies, Thrillers"
Latte and the Magic Waterstone,"Regina Welker, Nina Wels","Ashley Bornancin, Carter Hastings",2020,"Children & Family Movies, Comedies"
Raat Akeli Hai,Honey Trehan,"Nawazuddin Siddiqui, Radhika Apte, Khalid Tyabji, Aditya Srivastava, Padmavati Rao, Shivani Raghuvanshi, Nishant Dahiya, Shweta Tripathi, Gyanendra Tripathi, Shreedhar Dubey, Swanand Kirkire, Riya Shukla, Tigmanshu Dhulia, Ila Arun, Natasha Rastogi",2020,"Dramas, International Movies, Thrillers"
Seriously Single,"Katleho Ramaphakela, Rethabile Ramaphakela","Fulu Mugovhani, Tumi Morake, Bohang Moeko, Yonda Thomas",2020,"Comedies, International Movies, Romantic Movies"
Sugar High,Ariel Boles,Hunter March,2020,Children & Family Movies
Retablo,Álvaro Delgado-Aparicio L.,"Junior Béjar Roca, Amiel Cayo, Magaly Solier, Hermelinda Luján, Mauro Chuchón, Claudia Solís, Coco Chiarella",2017,"Dramas, International Movies"
Uma Maheswara Ugra Roopasya,Venkatesh Maha,"Satya Dev, VK Naresh, Raghavan, Suhas P, Ravindra Vijay, Chandana Koppisetti, Roopa Koduvayur, Kushalini Pulapa",2020,"Comedies, Dramas, Independent Movies"
It's Her Day,Aniedi Anwah,"Bovi Ugboma, Amanda Ebeye, Shaffy Bello, Adunni Ade, Ini Dima-Okojie, 'Najite Dede, Gregory Ojefua, Thelma Ezeamaka, Femi Durojaiye, Ese Lami George, Toni Tones",2016,"Comedies, International Movies, Romantic Movies"
Redemption,Mickey Fonseca,"Gil Alexandre, Arlete Bombe, Rashid Abdul, Laquino Fonseca, Tomas Bie, Candido Quembo, Jorge Amade, Aldovina Chiziane",2019,"Dramas, International Movies, Thrillers"
Shine Your Eyes,Matias Mariani,"O.C. Ukeje, Indira Nascimento, Paulo André, Ike Barry, Chukwudi Iwuji",2020,"Dramas, Independent Movies, International Movies"
The Hater,Jan Komasa,"Maciej Musiałowski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica",2020,"Dramas, International Movies, Thrillers"
The Speed Cubers,Sue Kim,,2020,Documentaries
Tread,Paul Solet,,2019,Documentaries
Banana Split,Ben Kasulke,"Hannah Marks, Liana Liberato, Dylan Sprouse, Luke Spencer Roberts, Jessica Hecht, Addison Riecke, Meagan Kimberly Smith, Haley Ramm",2020,"Comedies, Dramas, Independent Movies"
Door Ke Darshan,Gagan Puri,"Dolly Ahluwalia, Manu Rishi Chadha, Mahie Gill, Shardul Rana, Archita Sharma, Rajesh Sharma, Supriya Shukla, Mehak Manwani",2020,"Comedies, International Movies"
Double World,Teddy Chan,"Henry Lau, Peter Ho, Lin Chenhan, Jiang Luxia, Ming Hu, Him Law, Shi Shi, Mark Cheng, Wang Ziyi, Xu Minghu",2020,"Action & Adventure, International Movies"
Project Marathwada,Bhavin Wadia,"Om Puri, Seema Biswas, Kunal Sheth, Rahul Patel, Katarina Kajkus, Farrah Kader, Govind Namdeo, Dalip Tahil",2016,"Dramas, Independent Movies, International Movies"
Animal Crackers,"Tony Bancroft, Scott Christian Sava","Emily Blunt, John Krasinski, Ian McKellen, Danny DeVito, Raven-Symoné, Patrick Warburton, Wallace Shawn, Gilbert Gottfried, Tara Strong, Harvey Fierstein, James Arnold Taylor, Kevin Grevioux, Sylvester Stallone, Lydia Rose Taylor",2020,"Children & Family Movies, Comedies"
Dragons: Rescue Riders: Secrets of the Songwing,"Greg Rankin, TJ Sullivan","Noah Kaye Bentley, Brennley Brown, Zach Callison, Nicolas Cantu, Skai Jackson, Marsai Martin, Andre Robinson, Carlos Alazraqui, Renée Elise Goldsberry",2020,"Children & Family Movies, Comedies"
Nimbe,Tope Alake,"Odunlade Adekola, Chimezie Imo, Sani Danja, Rachael Okonkwo, Broda Shaggi, Toyin Abraham, Kelechi Udegbe, Doyin Abiola, Molawa Davis",2019,"Dramas, International Movies"
Offering to the Storm,Fernando González Molina,"Marta Etura, Leonardo Sbaraglia, Carlos Librado ""Nene"", Francesc Orella, Imanol Arias, Álvaro Cervantes, Itziar Aizpuru, Benn Northover, Marta Larralde, Alicia Sánchez, Eduardo Rosa, Angel Alkain, Ana Wagener, Paco Tous, Patricia López Arnaiz, Pedro Casablanc",2020,"International Movies, Thrillers"
Romance Doll,Yuki Tanada,"Issey Takahashi, Yuu Aoi, Kenta Hamano, Toko Miura, Koji Ohkura, Pierre Taki, Eri Watanabe, Kitaro",2020,"Dramas, International Movies, Romantic Movies"
The Kissing Booth 2,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald, Taylor Zakhar Perez, Maisie Richardson-Sellers, Meganne Young",2020,"Comedies, Romantic Movies"
The Larva Island Movie,Ahn Byoung-wook,"Hong Bum-ki, Eddy Lee, Kang Shi-hyun, Ahn Hyo-min, Kim Yeon-woo, Choi Nak-yoon, Tom Wayland, Erica Schroeder",2020,"Children & Family Movies, Comedies"
The Letter Reader,Sibusiso Khuzwayo,"Bahle Mashinini, Nomalanga Shabane, Andile Gumbi, Nokuthula Mazibuko",2019,"Dramas, International Movies"
The Remix: Hip Hop X Fashion,"Lisa Cortés, Farah X",,2019,"Documentaries, Music & Musicals"
Ip Man 4: The Finale,Wilson Yip,"Donnie Yen, Wu Yue, Vanness Wu, Scott Adkins, Kent Cheng, Danny Chan Kwok-kwan, Kanin Ngo, Chris Collins, Vanda Margraf, Meng Lo",2019,"Action & Adventure, Dramas, International Movies"
Jack Whitehall: I'm Only Joking,"Dave Skinner, Freddie Waters",Jack Whitehall,2020,Stand-Up Comedy
Funan,Denis Do,"Bérénice Bejo, Louis Garrel, Colette Kieffer, Aude-Laurence Clermont Biver, Brice Montagne, Franck Sasonoff, Hervé Sogne, Maxime Baudoin, Tom Trouffier, Lila Lacombe, Céline Ronté, Emilie Marié, Thierry Jahn",2018,"Dramas, International Movies"
Father Soldier Son,"Leslye Davis, Catrin Einhorn",,2020,Documentaries
The Millions,"Toka McBaror, Tunde Apalowo","Ramsey Nouah, Blossom Chukwujekwu, Ayo Makun, Nancy Isime, Ali Nuhu, Folusho Durojaiye, Toyin Abraham, Chika Lann, Broda Shaggi, Etinosa Idemudia",2019,"Comedies, International Movies"
Fatal Affair,Peter Sullivan,"Nia Long, Omar Epps, Stephen Bishop, Maya Stojan, Aubrey Cleland, Carolyn Hennesy",2020,Thrillers
MILF,Axelle Laffont,"Virginie Ledoyen, Marie-Josée Croze, Axelle Laffont, Matthias Dandois, Victor Meutelet, Waël Sersoub, Florence Thomassin",2018,"Comedies, International Movies, Romantic Movies"
Cold Feet,Moses Inwang,"Jim Iyke, Joselyn Dumas, Enyinna Nwigwe, Beverly Naya, Femi Adebayo, Segun Arinze, Padita Agu",2019,"Dramas, International Movies, Romantic Movies"
Little Singham: Legend of Dugabakka,,,2020,"Children & Family Movies, Comedies"
Sylvia,Daniel Oriahi,"Chris Attoh, Zainab Balogun, Ini Dima-Okojie, Udoka Onyeka, Lord Frank, Bolaji Ogunmola, Ijeoma Grace Agu, Omotunde Adebowale David",2018,"Dramas, International Movies, Thrillers"
The Players,Stefano Mordini,"Valerio Mastandrea, Riccardo Scamarcio, Laura Chiatti, Valentina Cervi, Marina Foïs, Euridice Axen, Massimiliano Gallo, Alessia Giuliani",2020,"Comedies, International Movies"
Urzila Carlson: Overqualified Loser,Hayden Guppy,Urzila Carlson,2020,Stand-Up Comedy
We Are One,Stéphane de Freitas,,2020,"Documentaries, International Movies, Music & Musicals"
Hole in the Wall,"André Odendaal, Johan Vorster","André Odendaal, Nicholas Campbell, Tinarie van Wyk Loots, Bheki Mkwane, Susan Coetzer, Botho Molohloane, Anna Davel, Nomboniso Paile, Dania Gelderblom, Hamish Kyd",2016,"Dramas, International Movies"
Mama's Boy,Amro Salah,"Hesham Maged, Shikoo, Mohammed Tharwat, Mahmoud Ellisy, Ahmed Sultan, Noor Kadri",2018,"Comedies, International Movies"
The Claudia Kishi Club,Sue Ding,,2020,Documentaries
The Old Guard,Gina Prince-Bythewood,"Charlize Theron, KiKi Layne, Marwan Kenzari, Luca Marinelli, Harry Melling, Van Veronica Ngo, Matthias Schoenaerts, Chiwetel Ejiofor",2020,Action & Adventure
Your Excellency,Funke Akindele,"Akin Lewis, Funke Akindele, Kemi Lala Akindoju, Shaffy Bello, Kunle Coker, Eku Edewor, Alexx Ekubo, Osas Ighodaro Ajibade, Seyi Law, Falz, Chigul, Deyemi Okanlawon, Beverly Osu, Toni Tones, Christian Paul, Bimbo Manuel, Helen Paul",2019,"Comedies, International Movies"
Born Racer,Bryn Evans,Scott Dixon,2018,"Documentaries, Sports Movies"
Mucho Mucho Amor: The Legend of Walter Mercado,"Cristina Costantini, Kareem Tabsch",Walter Mercado,2020,"Documentaries, LGBTQ Movies"
The Long Dumb Road,Hannah Fidell,"Tony Revolori, Jason Mantzoukas, Taissa Farmiga, Grace Gummer, Ciara Bravo, Casey Wilson, Pamela Reed, Ron Livingston",2018,"Comedies, Independent Movies"
Dr. Seuss' The Lorax,"Chris Renaud, Kyle Balda","Danny DeVito, Ed Helms, Taylor Swift, Zac Efron, Betty White, Rob Riggle, Jenny Slate, Nasim Pedrad, Joel Swetow, Michael Beattie, Stephen Tobolowsky",2012,Children & Family Movies
Jim Jefferies: Intolerant,Scott Zabielski,Jim Jefferies,2020,Stand-Up Comedy
A Kid from Coney Island,"Coodie, Chike",Stephon Marbury,2019,"Documentaries, Sports Movies"
PNL - Dans la légende tour,QLF,PNL,2020,"International Movies, Music & Musicals"
Aiyyaa,Sachin Kundalkar,"Rani Mukerji, Prithviraj Sukumaran, Nirmiti Sawant, Subodh Bhave, Jyoti Subhash, Satish Alekar, Anita Date, Amey Wagh, Kishori Balal, Pakoda Pandi",2012,"Comedies, International Movies, Music & Musicals"
Bbuddah Hoga Terra Baap,Puri Jagannadh,"Amitabh Bachchan, Hema Malini, Raveena Tandon, Sonu Sood, Sonal Chauhan, Charmy Kaur, Prakash Raj, Makrand Deshpande, Subbaraju, Shawar Ali, Rajeev Verma",2011,"Action & Adventure, Comedies, Dramas"
Blood Money,Vishal Mahadkar,"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",2012,"Dramas, International Movies, Romantic Movies"
Bombay Talkies,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui, Sadashiv Amrapurkar, Amitabh Bachchan, Ranvir Shorey, Katrina Kaif, Diana Penty",2013,"Dramas, International Movies"
Boss,Anthony D'Souza,"Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty, Johny Lever, Aditi Rao Hydari, Danny Denzongpa, Govind Namdeo, Parikshat Sahni, Aakash Dabhade",2013,"Action & Adventure, Comedies, Dramas"
Budhia Singh: Born to Run,Soumendra Padhi,"Manoj Bajpayee, Mayur Mahendra Patole, Tillotama Shome, Shruti Marathe, Chhaya Kadam, Gajraj Rao",2016,"Dramas, Independent Movies, International Movies"
Chashme Baddoor,David Dhawan,"Rishi Kapoor, Ali Zafar, Taapsee Pannu, Siddharth, Divyendu Sharma, Anupam Kher, Bharati Achrekar, Lillete Dubey, Ayaz Khan",2013,"Comedies, International Movies, Music & Musicals"
Dharam Sankat Mein,Fuwad Khan,"Paresh Rawal, Annu Kapoor, Alka Badola Kaushal, Auritra Ghosh, Naseeruddin Shah, Manoj Raghubir Sharma, Rushita Pandya, Murli Sharma",2015,"Comedies, Dramas, International Movies"
Drishyam,Nishikant Kamat,"Ajay Devgn, Shriya Saran, Tabu, Rajat Kapoor, Ishita Dutta, Mrunal Jadhav, Prasanna Ketkar, Yogesh Sonam, Prathamesh Parab, Rishabh Chaddha",2015,"Dramas, International Movies, Thrillers"
Gabbar Is Back,Krish,"Akshay Kumar, Shruti Haasan, Sunil Grover, Kareena Kapoor, Ishita Vyas, Suman Talwar, Jaideep Ahlawat, Shruti Bapna",2015,"Action & Adventure, Dramas, International Movies"
Gollu Aur Pappu,Kabir Sadanand,"Vir Das, Sandeepa Dhar, Dimple Kapadia, Kunaal Roy Kapur, Deepak Tijori",2014,"Action & Adventure, Comedies, International Movies"
Inkaar,Sudhir Mishra,"Arjun Rampal, Chitrangada Singh, Deepti Naval, Kanwaljeet Singh, Rehana Sultan, Vipin Sharma, Kaizaad Kotwal, Sujata Sehgal, Shivani Tanksale, Asheesh Kapur",2013,"Dramas, International Movies, Romantic Movies"
Madras Café,Shoojit Sircar,"John Abraham, Nargis Fakhri, Rashi Khanna, Avijit Dutt, Prakash Belawadi, Ajay Ratnam, Siddartha Basu, Agnello Dias, Dibang",2013,"Dramas, International Movies, Thrillers"
Mary Kom,Omung Kumar,"Priyanka Chopra, Darshan Kumar, Sunil Thapa, Kenny Basumatary, Shishir Sharma, Robin Das, Rajni Basumatary, Lin Laishram, Shakti Singh",2014,"Dramas, International Movies, Sports Movies"
Michael,Ribhu Dasgupta,"Naseeruddin Shah, Mahie Gill, Sabyasachi Chakraborty, Rudranil Ghosh, Iravati Harshe, Churni Ganguly, June Maliah, Purav Bhandare, Shridhar Watsar",2011,"Dramas, Independent Movies, International Movies"
Mumbai Delhi Mumbai,Satish Rajwade,"Shiv Pandit, Piaa Bajpai",2014,"Comedies, International Movies, Romantic Movies"
Oh My God,Umesh Shukla,"Akshay Kumar, Paresh Rawal, Mithun Chakraborty, Om Puri, Apoorva Arora, Arun Bali, Honey Chaaya, Poonam Jhawer, Mahesh Manjrekar, Govind Namdeo",2012,"Comedies, Dramas, International Movies"
One by Two,Devika Bhagat,"Abhay Deol, Preeti Desai, Lillete Dubey, Rati Agnihotri, Jayant Kripalani, Darshan Jariwala, Anish Trivedi, Geetika Tyagi, Preetika Chawla, Tahir Raj Bhasin",2014,"Comedies, Dramas, International Movies"
Only,Takashi Doscher,"Freida Pinto, Leslie Odom Jr., Chandler Riggs, Jayson Warner Smith, Joshua Mikel, Mark Ashworth, Tia Hendricks, Richard Hempton, Noor Naghmi, Maggie Parto",2019,"Dramas, Independent Movies, Romantic Movies"
Penalty,Shubham Singh,"Lukram Smil, Manjot Singh, Shashank Arora, Kay Kay Menon, Aakash Dabhade, Srishti Jain, Bijou Thaangjam, Mohit Nain, Ashwin Kaushal",2019,"Dramas, Independent Movies, International Movies"
Players,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johny Lever, Shweta Bhardwaj",2012,"Action & Adventure, International Movies"
Pyaar Ka Punchnama 2,Luv Ranjan,"Kartik Aaryan, Nushrat Bharucha, Sonalli Sehgall, Sunny Singh, Ishita Raj, Omkar Kapoor, Sharat Saxena, Mona Ambegaonkar",2015,"Comedies, Dramas, International Movies"
Queen,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",2014,"Comedies, Dramas, International Movies"
Shaitan,Bejoy Nambiar,"Rajeev Khandelwal, Kalki Koechlin, Gulshan Devaiah, Shiv Pandit, Kirti Kulhari, Neil Bhoopalam, Nikhil Chinappa, Rajit Kapoor, Rajkummar Rao, Pavan Malhotra",2011,"Action & Adventure, Dramas, Independent Movies"
Special 26,Neeraj Pandey,"Akshay Kumar, Manoj Bajpayee, Anupam Kher, Jimmy Shergill, Kajal Aggarwal, Divya Dutta, Kharaj Mukherjee, Rajesh Sharma, Kishore Kadam, Neeru Bajwa, Deep Raj Rana, Neetu Singh",2013,"Dramas, International Movies, Thrillers"
Tanu Weds Manu,Aanand Rai,"Madhavan, Kangana Ranaut, Jimmy Shergill, Deepak Dobriyal, Swara Bhaskar, Eijaz Khan, K.K. Raina, Rajendra Gupta, Ravi Kishan, Navni Parihar",2011,"Comedies, Dramas, International Movies"
What the Fish,Gurmmeet Singh,"Dimple Kapadia, Vishal Sharma, Sumit Suri, Anand Tiwari, Deepti Pujari, Manu Rishi Chadha, Geetika Tyagi, Manjot Singh, Sabina Sheema",2013,"Comedies, International Movies"
Desperados,LP,"Nasim Pedrad, Anna Camp, Lamorne Morris, Heather Graham, Robbie Amell, Sarah Burns, Jessica Chaffin",2020,"Comedies, Romantic Movies"
Hunter in the Blue Side of Manchester,Rako Prijanto,"Adipati Dolken, Ganindra Bimo, Donny Alamsyah, Vonny Cornellya, Tania Staite, Maurice Bryrne, Kevin Bzezovski Taroreh",2020,"Dramas, International Movies"
I Am Not Your Negro,Raoul Peck,"Samuel L. Jackson, Joey Starr",2017,Documentaries
The Perfect Picture: Ten Years Later,Shirley Frimpong-Manso,"Jackie Appiah, Naa Ashorkor Mensa-Doku, Lydia Forson, Adjetey Anang, Richard Mofe-Damijo, Chris Attoh, Gideon Okeke, Joselyn Dumas, John Dumelo, Beverly Naya",2019,"Comedies, Dramas, International Movies"
Thiago Ventura: POKAS,"Fabio Ock, Joana Mazzucchelli",Thiago Ventura,2020,Stand-Up Comedy
#AnneFrank - Parallel Stories,"Sabina Fedeli, Anna Migotto","Helen Mirren, Gengher Gatti",2019,"Documentaries, International Movies"
Adú,Salvador Calvo,"Luis Tosar, Anna Castillo, Álvaro Cervantes, Miquel Fernández, Jesús Carroza, Moustapha Oumarou, Adam Nourou, Zayidiyya Dissou, Ana Wagener, Nora Navas",2020,"Dramas, International Movies"
Ali Baba ve 7 Cüceler,Cem Yılmaz,"Cem Yılmaz, Irina Ivkina, Çetin Altay, Zafer Algöz, Can Yılmaz, Bahtiyar Engin, Fevzi Gökçe, Yosi Mizrahi",2015,"Action & Adventure, Comedies, International Movies"
David Foster: Off the Record,Barry Avrich,David Foster,2019,"Documentaries, Music & Musicals"
Double Jeopardy,Bruce Beresford,"Tommy Lee Jones, Ashley Judd, Bruce Greenwood, Annabeth Gish, Roma Maffia, Jay Brazeau, Michael Gaston, Daniel Lapaine",1999,Thrillers
Pek Yakında,Cem Yılmaz,"Cem Yılmaz, Tülin Özen, Ozan Güven, Özkan Uğur, Zafer Algöz, Cengiz Bozkurt, Cahit Gök, Bahtiyar Engin, Mazhar Alanson, Metin Coşkun, Tuğrul Tülek",2014,"Comedies, International Movies"
Stardust,Matthew Vaughn,"Claire Danes, Michelle Pfeiffer, Robert De Niro, Charlie Cox, Sienna Miller, Ricky Gervais, Jason Flemyng, Rupert Everett, Peter O'Toole, Mark Strong, Kate Magowan, Ian McKellen",2007,"Action & Adventure, International Movies, Romantic Movies"
The F**k-It List,Michael Duggan,"Eli Brown, Madison Iseman, Marcus Scribner, Jerry O'Connell, Karan Brar, Tristan Lake Leabu, Peter Facinelli, Natalie Zea",2019,Comedies
The Silence of Others,"Almudena Carracedo, Robert Bahar",,2019,"Documentaries, International Movies"
Total Recall,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore",1990,"Action & Adventure, Sci-Fi & Fantasy"
Under the Riccione Sun,Younuts!,"Cristiano Caccamo, Lorenzo Zurzolo, Ludovica Martino, Davide Calgaro, Matteo Oscar Giuggioli, Saul Nanni, Fotinì Peluso, Claudia Tranchese, Isabella Ferrari, Luca Ward, Andrea Roncato, Giulia Schiavo, Maria Luisa De Crescenzo, Sergio Ruggeri, Rosanna Sapia, Tommaso Paradiso",2020,"Comedies, International Movies, Romantic Movies"
George Lopez: We'll Do It For Half,Troy Miller,George Lopez,2020,Stand-Up Comedy
The Mirror Boy,Obi Emelonye,"Edward Kagutuzi, Genevieve Nnaji, Osita Iheme, Fatima Jabbe, Victor Carvalho, Felix Ceesay, John Charles Njie, Momodu Musa Ceesay",2011,"Action & Adventure, Dramas, International Movies"
#FriendButMarried 2,Rako Prijanto,"Adipati Dolken, Mawar de Jongh, Sari Nila, Vonny Cornellya, Clay Gribble, Ivan Leonardy, Sarah Sechan, Jourdy Pranata",2020,"Dramas, International Movies, Romantic Movies"
Skin,Daniel Effiong,Beverly Naya,2019,"Documentaries, International Movies"
Thackeray (Marathi),Abhijit Panse,"Nawazuddin Siddiqui, Amrita Rao, Rajeev Panday, Sanjay Narvekar, Rajesh Khera, Prakash Belawadi, Avantika Akerkar",2019,"Dramas, International Movies"
Ride Like a Girl,Rachel Griffiths,"Teresa Palmer, Sam Neill, Sullivan Stapleton, Stevie Payne, Brooke Satchwell, Magda Szubanski, Aaron Glenane, Damien Garvey, Sophia Crawford, Henry Nixon",2020,"Children & Family Movies, Dramas, Independent Movies"
Eurovision Song Contest: The Story of Fire Saga,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens, Melissanthi Mahut, Mikael Persbrandt, Ólafur Darri Ólafsson, Graham Norton, Demi Lovato, Pierce Brosnan",2020,"Comedies, Music & Musicals, Romantic Movies"
Kasanova,Oluseyi Asurf,"Wale Ojo, Ireti Doyle, Alvin Abayomi, Toyin Abraham, Ruby Akubueze, Chimezie Imo, Tomiwa Tegbe",2019,"Comedies, International Movies, Romantic Movies"
Ordinary People,Eduardo Roy Jr.,"Ronwaldo Martin, Hasmine Killip, Maria Isabel Lopez, Raymond Lee, Erlinda Villalobos, Sue Prado",2016,"Dramas, Independent Movies, International Movies"
Seven (Tamil),,,2019,"Dramas, International Movies, Romantic Movies"
Seven (Telugu),,,2019,"Dramas, International Movies, Romantic Movies"
Thackeray (Hindi),Abhijit Panse,"Nawazuddin Siddiqui, Amrita Rao, Rajeev Panday, Sanjay Narvekar, Rajesh Khera, Prakash Belawadi, Avantika Akerkar",2019,"Dramas, International Movies"
Krishna and His Leela,Ravikanth Perepu,"Siddhu Jonnalagadda, Shraddha Srinath, Seerat Kapoor, Shalini Vadnikatti, Jhansi, Viva Harsha, Sampath Raj, Samyuktha Hornad",2020,"International Movies, Romantic Movies"
Prem Ratan Dhan Payo,Sooraj R. Barjatya,"Salman Khan, Sonam Kapoor, Anupam Kher, Neil Nitin Mukesh, Sanjay Mishra, Swara Bhaskar, Deepak Dobriyal, Arman Kohli, Manoj Joshi, Samaira Rao, Karuna Pandey, Sucheta Khanna",2015,"Action & Adventure, Dramas, International Movies"
Vivah,Sooraj R. Barjatya,"Shahid Kapoor, Amrita Rao, Anupam Kher, Alok Nath, Seema Biswas, Samir Soni, Lata Sabharwal, Manoj Joshi, Dinesh Lamba, Amrita Prakash",2006,"Dramas, International Movies, Romantic Movies"
Athlete A,"Bonni Cohen, Jon Shenk",,2020,"Documentaries, Sports Movies"
Bulbbul,Anvita Dutt,"Tripti Dimri, Avinash Tiwary, Rahul Bose, Parambrata Chatterjee, Paoli Dam, Veera Kapur Ee",2020,"Horror Movies, International Movies"
Nobody Knows I'm Here,Gaspar Antillo,"Jorge García, Millaray Lobos, Luis Gnecco, Alejandro Goic, Gastón Pauls, Eduardo Paxeco",2020,"Dramas, Independent Movies, International Movies"
Eric Andre: Legalize Everything,Eric Notarnicola,Eric André,2020,Stand-Up Comedy
Kappela,Musthafa,"Anna Ben, Roshan Mathew, Sreenath Bhasi, Sudhi Koppa, Tanvi Ram, Musthafa, James Eliya, Vijilesh",2020,"Dramas, Independent Movies, International Movies"
The Royal Hibiscus Hotel,Ishaya Bako,"Zainab Balogun, Kenneth Okolie, Deyemi Okanlawon, Joke Silva, Olu Jacobs, Jide Kosoko, Rachel Oniga, Kemi Lala Akindoju, Ini Dima-Okojie, Toni Tones",2017,"Comedies, International Movies, Romantic Movies"
Woodshock,"Kate Mulleavy, Laura Mulleavy","Kirsten Dunst, Joe Cole, Pilou Asbæk, Jack Kilmer, Steph DuVall, Susan Traylor, Joel McCoy, Michael Pavlicek",2017,"Dramas, Independent Movies, Thrillers"
Elevator Baby,Akhigbe Ilozobhie,"Toyin Abraham, Timini Egbuson, Shaffy Bello, Yemi Solade, Broda Shaggi, Sambasa Nzeribe, Ijeoma Aniebo, Blessing Onwukwe",2019,"Dramas, International Movies"
Chaman Bahaar,Apurva Dhar Badgaiyann,"Jitendra Kumar, Ritika Badiani, Yogendra Tikku, Bhuvan Arora, Alam Khan, Dhirendra Tiwari, Ashwani Kumar, Bhagwan Tiwari",2020,"Comedies, Dramas, International Movies"
Destiny,Youssef Chahine,"Nour El-Sherif, Laila Elwi, Mahmoud Hemeida, Safia el-Emari, Mohamed Mounir, Khaled El Nabawy, Seif Abdelrahman, Abdalla Mahmoud, Ahmed Fouad Selim, Magdi Idris",1997,"Dramas, International Movies"
Disclosure,,,2020,"Documentaries, LGBTQ Movies"
Feel the Beat,Elissa Down,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres",2020,"Children & Family Movies, Comedies, Dramas"
Lost Bullet,Guillaume Pierret,"Alban Lenoir, Nicolas Duvauchelle, Ramzy Bedia, Stéfi Celma, Rod Paradot, Sébastien Lalanne, Pascale Arbillot, Arthur Aspaturian, Patrick Médioni",2020,"Action & Adventure, Dramas, International Movies"
One-Way to Tomorrow,Ozan Açıktan,"Dilan Çiçek Deniz, Metin Akdülger",2020,"Dramas, International Movies, Romantic Movies"
